API,excipient,label,prop
Budesonide,Glycerol,1,0.295671835
Budesonide,Glycyrrhizic_acid,0,1
Budesonide,L_Ascorbic_acid,1,0.213113695
Budesonide,L_Leucine,1,0.092571059
Budesonide,Lamivudine,1,0.595930233
Budesonide,Meglumine,1,0.113113695
Budesonide,Metformin hydrochloride,0,1
Budesonide,Naproxen_sodium,1,0.402002584
Budesonide,Nicotinic_acid,1,0.153294574
Budesonide,Potassium_sorbate,0,1
Budesonide,Procyanidin,0,1
Budesonide,SAFFLOWER YELLOW,1,0.244379845
Budesonide,Salidroside,1,0.158139535
Budesonide,Sorbitol,1,0.299224806
Budesonide,Sucrose,1,0.245413437
Budesonide,Tannic_acid,0,1
Budesonide,Tartrazine,1,0.577583979
Budesonide,Taurine,1,0.328100775
Budesonide,Triethyl_citrate,0,1
Budesonide,Vanillin,0,1
Budesonide,Xylitol,1,0.23255814
Cholic_acid,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,1,0.274536647
Cholic_acid,Alizarin_Red_S,0,1
Cholic_acid,Allura Red AC,0,1
Cholic_acid,Ampicillin,0,1
Cholic_acid,Betaine,1,0.198083404
Cholic_acid,BETANIN,1,0.523694187
Cholic_acid,Brilliant_blue_G,1,0.179338669
Cholic_acid,Caffeic acid,1,0.360046335
Cholic_acid,Capecitabine,1,0.362889638
Cholic_acid,Carmin,0,1
Cholic_acid,Chlorogenic acid,1,0.406171019
Cholic_acid,Citric_acid,0,1
Cholic_acid,Congo_red,1,0.542228307
Cholic_acid,D_glucose,0,1
Cholic_acid,D(-)-Tartaric acid,0,1
Cholic_acid,Dopamine hydrochloride,0,1
Cholic_acid,EGCG,1,0.244839933
Cholic_acid,Evans_Blue,1,0.132898062
Cholic_acid,Gallic_acid,1,0.37963353
Cholic_acid,Glutathione,1,0.307813816
Cholic_acid,Glycerol,0,1
Cholic_acid,Glycyrrhizic_acid,0,1
Cholic_acid,L_Ascorbic_acid,1,0.238942713
Cholic_acid,L_Leucine,1,0.179970514
Cholic_acid,Lamivudine,0,0.807392586
Cholic_acid,Meglumine,1,0.481571188
Cholic_acid,Metformin hydrochloride,0,1
Cholic_acid,Naproxen_sodium,0,1
Cholic_acid,Nicotinic_acid,1,0.138163437
Cholic_acid,Potassium_sorbate,0,1
Cholic_acid,Procyanidin,1,0.376158382
Cholic_acid,SAFFLOWER YELLOW,1,0.321609099
Cholic_acid,Salidroside,1,0.320977254
Cholic_acid,Sorbitol,0,1
Cholic_acid,Sucrose,0,1
Cholic_acid,Tannic_acid,0,1
Cholic_acid,Tartrazine,0,1
Cholic_acid,Taurine,0,0.898904802
Cholic_acid,Triethyl_citrate,0,1
Cholic_acid,Vanillin,0,0.934288121
Cholic_acid,Xylitol,1,0.73525695
Candesartan_cilexetil,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Candesartan_cilexetil,Alizarin_Red_S,0,0.981830417
Candesartan_cilexetil,Allura Red AC,0,0.907806191
Candesartan_cilexetil,Ampicillin,0,0.97039031
Candesartan_cilexetil,Betaine,0,1
Candesartan_cilexetil,BETANIN,0,0.882907133
Candesartan_cilexetil,Brilliant_blue_G,0,0.831090175
Candesartan_cilexetil,Caffeic acid,0,0.944818304
Candesartan_cilexetil,Capecitabine,0,0.944145357
Candesartan_cilexetil,Carmin,0,0.841184388
Candesartan_cilexetil,Chlorogenic acid,0,1
Candesartan_cilexetil,Citric_acid,0,1
Candesartan_cilexetil,Congo_red,1,0.693808883
Candesartan_cilexetil,D_glucose,0,0.911843876
Candesartan_cilexetil,D(-)-Tartaric acid,0,1
Candesartan_cilexetil,Dopamine hydrochloride,0,1
Candesartan_cilexetil,EGCG,0,0.83781965
Candesartan_cilexetil,Evans_Blue,0,1
Candesartan_cilexetil,Gallic_acid,0,0.752355316
Candesartan_cilexetil,Glutathione,0,0.97846568
Candesartan_cilexetil,Glycerol,0,0.981830417
Candesartan_cilexetil,Glycyrrhizic_acid,0,0.768506057
Candesartan_cilexetil,L_Ascorbic_acid,0,0.860699865
Candesartan_cilexetil,L_Leucine,0,0.913189771
Candesartan_cilexetil,Lamivudine,0,0.924629879
Candesartan_cilexetil,Meglumine,1,0.726783311
Candesartan_cilexetil,Metformin hydrochloride,0,0.930686406
Candesartan_cilexetil,Methylene_Blue_trihydrate,0,1
Candesartan_cilexetil,Naproxen_sodium,0,0.861372813
Candesartan_cilexetil,Nicotinic_acid,0,0.80820996
Candesartan_cilexetil,Potassium_sorbate,0,0.834454913
Candesartan_cilexetil,Procyanidin,0,0.771197847
Candesartan_cilexetil,SAFFLOWER YELLOW,1,0.730148048
Candesartan_cilexetil,Salidroside,0,0.870794078
Candesartan_cilexetil,Sorbitol,0,1
Candesartan_cilexetil,Sucrose,0,0.954239569
Candesartan_cilexetil,Tannic_acid,0,1
Candesartan_cilexetil,Tartrazine,0,0.84858681
Candesartan_cilexetil,Taurine,0,1
Candesartan_cilexetil,Triethyl_citrate,0,1
Candesartan_cilexetil,Vanillin,0,1
Candesartan_cilexetil,Xylitol,0,0.944818304
Celecoxib,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Celecoxib,Alizarin_Red_S,0,1
Celecoxib,Allura Red AC,0,1
Celecoxib,Ampicillin,0,1
Celecoxib,Betaine,0,1
Celecoxib,BETANIN,1,0.704002635
Celecoxib,Brilliant_blue_G,1,0.154949761
Celecoxib,Caffeic acid,0,1
Celecoxib,Capecitabine,0,1
Celecoxib,Carmin,0,1
Celecoxib,Chlorogenic acid,0,1
Celecoxib,Citric_acid,0,1
Celecoxib,Congo_red,0,1
Celecoxib,D_glucose,0,1
Celecoxib,D(-)-Tartaric acid,0,1
Celecoxib,Dopamine hydrochloride,0,1
Celecoxib,EGCG,0,1
Celecoxib,Evans_Blue,0,1
Celecoxib,Gallic_acid,0,1
Celecoxib,Glutathione,0,1
Celecoxib,Glycerol,0,1
Celecoxib,Glycyrrhizic_acid,1,0.200790644
Celecoxib,L_Ascorbic_acid,0,1
Celecoxib,L_Leucine,0,1
Celecoxib,Lamivudine,0,1
Celecoxib,Meglumine,0,1
Celecoxib,Metformin hydrochloride,0,1
Celecoxib,Methylene_Blue_trihydrate,0,1
Celecoxib,Naproxen_sodium,0,1
Celecoxib,Nicotinic_acid,0,1
Celecoxib,Potassium_sorbate,0,1
Celecoxib,Procyanidin,1,0.525448855
Celecoxib,SAFFLOWER YELLOW,0,1
Celecoxib,Salidroside,0,1
Celecoxib,Sorbitol,0,1
Celecoxib,Sucrose,0,1
Celecoxib,Tannic_acid,0,1
Celecoxib,Tartrazine,0,1
Celecoxib,Taurine,0,1
Celecoxib,Triethyl_citrate,0,1
Celecoxib,Vanillin,0,1
Celecoxib,Xylitol,0,1
Carmofur,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Carmofur,Alizarin_Red_S,0,1
Carmofur,Allura Red AC,1,0.306313646
Carmofur,Ampicillin,1,0.330210455
Carmofur,Betaine,1,0.565784114
Carmofur,BETANIN,1,0.364494229
Carmofur,Brilliant_blue_G,1,0.316496945
Carmofur,Caffeic acid,1,0.269314325
Carmofur,Capecitabine,1,0.582145282
Carmofur,Carmin,1,0.320095044
Carmofur,Chlorogenic acid,0,1
Carmofur,Citric_acid,1,0.634894773
Carmofur,Congo_red,0,1
Carmofur,D_glucose,1,0.508553971
Carmofur,D(-)-Tartaric acid,1,0.466598778
Carmofur,Dopamine hydrochloride,1,0.413374067
Carmofur,EGCG,1,0.286422267
Carmofur,Evans_Blue,1,0.232586558
Carmofur,Gallic_acid,1,0.369653768
Carmofur,Glutathione,0,1
Carmofur,Glycerol,0,1
Carmofur,Glycyrrhizic_acid,0,1
Carmofur,L_Ascorbic_acid,1,0.489477257
Carmofur,L_Leucine,1,0.624779362
Carmofur,Lamivudine,1,0.495315682
Carmofur,Meglumine,1,0.459131025
Carmofur,Metformin hydrochloride,1,0.590427699
Carmofur,Naproxen_sodium,1,0.408486083
Carmofur,Nicotinic_acid,1,0.606381534
Carmofur,Potassium_sorbate,1,0.477732519
Carmofur,Procyanidin,1,0.523761032
Carmofur,SAFFLOWER YELLOW,1,0.208961303
Carmofur,Salidroside,1,0.388798371
Carmofur,Sorbitol,1,0.391174474
Carmofur,Sucrose,0,1
Carmofur,Tannic_acid,1,0.478818737
Carmofur,Tartrazine,1,0.304344874
Carmofur,Taurine,0,1
Carmofur,Triethyl_citrate,0,1
Carmofur,Vanillin,1,0.52233537
Carmofur,Xylitol,1,0.615410726
Carbamazepine,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,1,0.680857875
Carbamazepine,Alizarin_Red_S,0,1
Carbamazepine,Allura Red AC,1,0.612996159
Carbamazepine,Ampicillin,0,0.887110542
Carbamazepine,Betaine,1,0.543854033
Carbamazepine,BETANIN,1,0.240290226
Carbamazepine,Brilliant_blue_G,1,0.473111396
Carbamazepine,Caffeic acid,1,0.620145113
Carbamazepine,Capecitabine,0,0.781370038
Carbamazepine,Carmin,1,0.663465642
Carbamazepine,Chlorogenic acid,0,1
Carbamazepine,Citric_acid,0,1
Carbamazepine,Congo_red,1,0.746798976
Carbamazepine,D_glucose,1,0.137857448
Carbamazepine,D(-)-Tartaric acid,1,0.653542467
Carbamazepine,Dopamine hydrochloride,1,0.702944942
Carbamazepine,EGCG,1,0.205719163
Carbamazepine,Evans_Blue,1,0.197289799
Carbamazepine,Gallic_acid,1,0.318075117
Carbamazepine,Glutathione,0,0.924775928
Carbamazepine,Glycerol,1,0.583546735
Carbamazepine,Glycyrrhizic_acid,0,1
Carbamazepine,L_Ascorbic_acid,1,0.363422962
Carbamazepine,L_Leucine,1,0.338988476
Carbamazepine,Lamivudine,1,0.606700811
Carbamazepine,Meglumine,1,0.43811353
Carbamazepine,Metformin hydrochloride,0,0.841122493
Carbamazepine,Naproxen_sodium,0,1
Carbamazepine,Nicotinic_acid,1,0.038988476
Carbamazepine,Potassium_sorbate,0,0.9605207
Carbamazepine,Procyanidin,0,1
Carbamazepine,SAFFLOWER YELLOW,0,1
Carbamazepine,Salidroside,0,1
Carbamazepine,Sorbitol,1,0.692274861
Carbamazepine,Sucrose,0,0.864916773
Carbamazepine,Tannic_acid,1,0.491784038
Carbamazepine,Tartrazine,1,0.338454972
Carbamazepine,Taurine,1,0.456039266
Carbamazepine,Triethyl_citrate,1,0.624626547
Carbamazepine,Vanillin,1,0.528702518
Carbamazepine,Xylitol,1,0.4079172
Curcumin,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Curcumin,Alizarin_Red_S,1,0.019
Curcumin,Allura Red AC,1,0.04648
Curcumin,Ampicillin,0,1
Curcumin,Betaine,0,1
Curcumin,BETANIN,0,1
Curcumin,Brilliant_blue_G,1,0.0239
Curcumin,Caffeic acid,0,1
Curcumin,Capecitabine,0,1
Curcumin,Carmin,1,0.06534
Curcumin,Chlorogenic acid,0,1
Curcumin,Citric_acid,1,0.08618
Curcumin,Congo_red,1,0.04542
Curcumin,D_glucose,0,1
Curcumin,D(-)-Tartaric acid,1,0.05424
Curcumin,Dopamine hydrochloride,0,1
Curcumin,EGCG,0,1
Curcumin,Evans_Blue,1,0.03096
Curcumin,Gallic_acid,1,0.02352
Curcumin,Glutathione,1,0.06394
Curcumin,Glycerol,1,0.17434
Curcumin,Glycyrrhizic_acid,1,0.016786
Curcumin,L_Ascorbic_acid,1,0.0285
Curcumin,L_Leucine,0,1
Curcumin,Lamivudine,1,0.07976
Curcumin,Meglumine,1,0.02542
Curcumin,Metformin hydrochloride,0,1
Curcumin,Methylene_Blue_trihydrate,1,0.05278
Curcumin,Naproxen_sodium,1,0.03572
Curcumin,Nicotinic_acid,1,0.0206
Curcumin,Potassium_sorbate,1,0.04544
Curcumin,Procyanidin,1,0.04222
Curcumin,SAFFLOWER YELLOW,1,0.04378
Curcumin,Salidroside,0,1
Curcumin,Sorbitol,1,0.11326
Curcumin,Sucrose,0,1
Curcumin,Tannic_acid,0,1
Curcumin,Tartrazine,0,1
Curcumin,Taurine,0,1
Curcumin,Triethyl_citrate,0,1
Curcumin,Vanillin,0,1
Curcumin,Xylitol,0,1
Dexamethasone,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,0,1
Dexamethasone,Alizarin_Red_S,0,1
Dexamethasone,Allura Red AC,1,0.449634626
Dexamethasone,Ampicillin,0,1
Dexamethasone,Betaine,0,1
Dexamethasone,BETANIN,0,1
Dexamethasone,Brilliant_blue_G,1,0.214165261
Dexamethasone,Caffeic acid,0,1
Dexamethasone,Capecitabine,0,1
Dexamethasone,Carmin,0,1
Dexamethasone,Chlorogenic acid,0,1
Dexamethasone,Citric_acid,0,1
Dexamethasone,Congo_red,0,1
Dexamethasone,D_glucose,0,1
Dexamethasone,D(-)-Tartaric acid,0,1
Dexamethasone,Dopamine hydrochloride,0,1
Dexamethasone,EGCG,0,1
Dexamethasone,Evans_Blue,1,0.014997189
Dexamethasone,Gallic_acid,1,0.238785835
Dexamethasone,Glutathione,0,1
Dexamethasone,Glycerol,0,1
Dexamethasone,Glycyrrhizic_acid,0,1
Dexamethasone,L_Ascorbic_acid,0,1
Dexamethasone,L_Leucine,0,1
Dexamethasone,Lamivudine,0,1
Dexamethasone,Meglumine,0,1
Dexamethasone,Metformin hydrochloride,0,1
Dexamethasone,Methylene_Blue_trihydrate,0,1
Dexamethasone,Naproxen_sodium,0,1
Dexamethasone,Nicotinic_acid,0,1
Dexamethasone,Potassium_sorbate,0,1
Dexamethasone,Procyanidin,0,1
Dexamethasone,SAFFLOWER YELLOW,0,1
Dexamethasone,Salidroside,0,1
Dexamethasone,Sorbitol,0,1
Dexamethasone,Sucrose,0,1
Dexamethasone,Tannic_acid,0,1
Dexamethasone,Tartrazine,0,1
Dexamethasone,Taurine,0,1
Dexamethasone,Triethyl_citrate,0,1
Dexamethasone,Vanillin,0,1
Dexamethasone,Xylitol,0,1
Dasatinib,4-(METHOXYCARBONYL)PHENYLBORONIC ACID,1,0.304287046
Dasatinib,Alizarin_Red_S,0,1
Dasatinib,Allura Red AC,1,0.375582479
Dasatinib,Ampicillin,1,0.25722274
Dasatinib,Betaine,1,0.598089469
Dasatinib,BETANIN,0,0.769804287
Dasatinib,Brilliant_blue_G,1,0.194361603
Dasatinib,Caffeic acid,0,1
Dasatinib,Capecitabine,1,0.269338304
Dasatinib,Carmin,1,0.558480895
Dasatinib,Chlorogenic acid,0,1
Dasatinib,Citric_acid,0,1
Dasatinib,Congo_red,1,0.201724138
Dasatinib,D_glucose,1,0.262115564
Dasatinib,D(-)-Tartaric acid,0,1
Dasatinib,Dopamine hydrochloride,1,0.297297297
Dasatinib,EGCG,1,0.322693383
Dasatinib,Gallic_acid,0,0.890959925
Dasatinib,Glutathione,0,1
Dasatinib,Glycerol,1,0.26304753
