,cas_number,moldb_smiles,klass
Vinaginsenoside R10,156398-69-5,C[C@@]12CCC(C1[C@H](O)CC1[C@@]3(C)CC[C@H](O)C(C)(C)C3[C@H](C[C@@]21C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@]1(C)CC[C@@H](O)C(C)(C)O1,Prenol lipids
Vinaginsenoside R11,156398-70-8,CC12CCC(C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(CO)C(O)C(O)C1OC1OCC(O)C(O)C1O)C1(C)CCC(O)C(C)(C)O1,
Vinaginsenoside R12,156398-71-9,CC(C)(O)C(O)CCC(C)(O)C1CCC2(C)C1C(O)CC1C3(C)CCC(O)C(C)(C)C3C(CC21C)OC1OC(CO)C(O)C(O)C1O,
Vinaginsenoside R13,156398-72-0,CC(C)(O)C(O)CCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)C(C)(C)C3CCC21C,
Mukoenine A,155519-81-6,CC(C)=CCC1=C2NC3=CC=CC=C3C2=CC(C)=C1O,
Zanthobisquinolone,57147-67-8,CN1C(=O)C(CC2=C(O)C3=CC=CC=C3N(C)C2=O)=C(O)C2=CC=CC=C12,
Murrastifoline F,155519-85-0,COC1=CC(C)=CC2=C1N(C1=CC=CC=C21)C1=C2C(NC3=CC=CC=C23)=C(OC)C=C1C,
Mukoenine B,155519-82-7,CC(C)=CCC\C(C)=C/CC1=C2NC3=CC=CC=C3C2=CC(C=O)=C1O,
Bikoeniquinone A,155519-84-9,COC1=C2NC3=CC=CC=C3C2=C(C(C)=C1)C1=C(C)C(=O)C2=C(NC3=CC=CC=C23)C1=O,
4-Methoxybrassinin,129602-03-5,COC1=CC=CC2=C1C(CNC(=S)SC)=CN2,
Dihydroxyacidissiminol,160387-10-0,C\C(=C/COC1=CC=C(CCNC(=O)C2=CC=CC=C2)C=C1)C(O)CC(O)C(C)(C)O,
Acidissiminol epoxide,139165-01-8,C\C(=C/COC1=CC=C(CCNC(=O)C2=CC=CC=C2)C=C1)C(O)CC1OC1(C)C,
5-Hydroxy-4-methoxy-6-canthinone 3-N-oxide,129722-98-1,COC1=C(O)C(=O)N2C3=CC=CC=C3C3=C2C1=N(=O)C=C3,
(R)-7'-O-Methylmarmin,144424-82-8,COC(C)(C)C(O)CC\C(C)=C\COC1=CC=C2C=CC(=O)OC2=C1,
(R)-6'-O-Formylmarmin,144398-51-6,C\C(CCC(OC=O)C(C)(C)O)=C/COC1=CC=C2C=CC(=O)OC2=C1,
Methyl helianthenoate F glucoside,150-30-1,COC(=O)CCC#CC#C\C=C/COC1OC(CO)C(O)C(O)C1O,
"5-Hydroxy-4-methoxy-3-methyl-2,6-canthinedione",129724-30-7,COC1=C(O)C(=O)N2C3=CC=CC=C3C3=CC(=O)N(C)C1=C23,
2-Ethoxy-5-(1-propenyl)phenol,94-86-0,CCOC1=C(O)C=C(\C=C\C)C=C1,
Kaempferol 3-(2-feruloylsophoroside) 7-glucoside,151649-63-7,COC1=C(O)C=CC(\C=C\C(=O)OC2C(OC3C(OC4=C(OC5=CC(OC6OC(CO)C(O)C(O)C6O)=CC(O)=C5C4=O)C4=CC=C(O)C=C4)OC(CO)C(O)C3O)OC(CO)C(O)C2O)=C1,
Kaempferol 3-(2-p-coumaroylsophoroside) 7-glucoside,151649-64-8,OCC1OC(OC2C(O)C(O)C(CO)OC2OC2=C(OC3=CC(OC4OC(CO)C(O)C(O)C4O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(OC(=O)\C=C\C2=CC=C(O)C=C2)C(O)C1O,
Kaempferide 3-rhamnoside,148435-12-5,COC1=CC=C(C=C1)C1=C(OC2OC(C)C(O)C(O)C2O)C(=O)C2=C(O)C=C(O)C=C2O1,
Kaempferide 3-[rhamnopyranosyl-(1->6)-glucoside] 7-rhamnoside,150164-07-1,COC1=CC=C(C=C1)C1=C(OC2OC(COC3OC(C)C(O)C(O)C3O)C(O)C(O)C2O)C(=O)C2=C(O)C=C(OC3OC(C)C(O)C(O)C3O)C=C2O1,
Vinaginsenoside R7,156009-83-5,CC(C)=CCCC(C)(OC1OC(CO)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4OC4OCC(O)C(O)C4O)C(C)(C)C3CCC21C,
[7]-Paradol,53172-04-6,CCCCCCCCC(=O)CCC1=CC(OC)=C(O)C=C1,
Caffeoylcycloartenol,75884-34-3,CC(CCC=C(C)C)C1CCC2(C)C3CCC4C5(CC35CCC12C)CCC(OC(=O)\C=C\C1=CC(O)=C(O)C=C1)C4(C)C,
Quinoside A,123597-11-5,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(CO)C(O)C(O)C6O)C(C)(COC6OC(CO)C(O)C(O)C6O)C5CCC34C)C2C1)C(=O)OC1OCC(O)C(OC2OC(CO)C(O)C(O)C2O)C1O,
"5,7-Dihydroxy-3',4'-dimethoxy-5'-prenylflavanone",147047-03-8,COC1=C(OC)C(CC=C(C)C)=CC(=C1)C1CC(=O)C2=C(O)C=C(O)C=C2O1,
Phytolaccoside I,65608-04-0,CC1OC(OC2C(O)C(O)C(CO)OC2OC2C(O)C(O)COC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(CCC5(CCC43C)C(O)=O)C(O)=O)C2(C)CO)C(O)C(O)C1O,
Dehydropipernonaline,107584-38-3,O=C(\C=C\C=C\CC\C=C\C1=CC=C2OCOC2=C1)N1CCCCC1,
Natsudaidain 3-(4-O-3-hydroxy-3-methylglutaroylglucoside),149402-86-8,COC1=C(OC)C=C(C=C1)C1=C(OC2OC(CO)C(OC(=O)CC(C)(O)CC(O)=O)C(O)C2O)C(=O)C2=C(OC)C(OC)=C(OC)C(OC)=C2O1,
3'-Methylgancaonin P,151776-21-5,COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C(CC=C(C)C)=C2O,Flavonoids
Isosyringinoside,152686-85-6,COC1=CC(\C=C/COC2OC(CO)C(O)C(O)C2O)=CC(OC)=C1OC1OC(CO)C(O)C(O)C1O,
Nb-Palmitoyltryptamine,21469-15-8,CCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=C1C=CC=C2,
Nb-Stearoyltryptamine,21469-14-7,CCCCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=C1C=CC=C2,
Nb-Arachidoyltryptamine,152766-92-2,CCCCCCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=C1C=CC=C2,
Nb-Tricosanoyltryptamine,152766-93-3,CCCCCCCCCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=C1C=CC=C2,
Nb-Lignoceroyltryptamine,152766-94-4,CCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=C1C=CC=C2,
Nb-Pentacosanoyltryptamine,152766-95-5,CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=C1C=CC=C2,
Nb-Hexacosanoyltryptamine,152766-96-6,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCC1=CNC2=C1C=CC=C2,
"2,3-Butanediol glucoside",146763-54-4,CC(O)C(C)OC1OC(CO)C(O)C(O)C1O,
D-Malic acid p-coumarate,149197-99-9,OC(=O)CC(OC(=O)\C=C\C1=CC=C(O)C=C1)C(O)=O,
Tsangane L 3-glucoside,143775-68-2,CC(O)CCC1=C(C)CC(CC1(C)C)OC1OC(CO)C(O)C(O)C1O,
Tryptophol [xylosyl-(1->6)-glucoside],149817-65-2,OC1COC(OCC2OC(OCCC3=CNC4=CC=CC=C34)C(O)C(O)C2O)C(O)C1O,
(9Z)-Lycopene,64727-64-6,CC(C)=CCC\C(C)=C/C=C\C(\C)=C\C=C\C(\C)=C/C=C/C=C(\C)/C=C\C=C(\C)/C=C/C=C(\C)CCC=C(C)C,
Gigantetrocin B,134955-48-9,CCCCCCCCCCCCCCC(O)C(O)CCC(O)C1CCC(CCCCCC(O)CC2=CC(C)OC2=O)O1,
Medinoside E,170034-93-2,CC1OC(OC2C(O)C(O)C(CO)OC2OC2C(O)C(O)C(CO)OC2OC2C(O)C(O)C(OC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CC(O)C5(C)CCC43C)C2(C)CO)C(O)=O)C(O)C(O)C1O,
"(2S,3S,4R)-3,4,4',7-Tetrahydroxyflavan",149820-44-0,OC1C(O)C2=CC=C(O)C=C2OC1C1=CC=C(O)C=C1,
N-(1-Deoxy-b-D-fructopyranosyl) (R)C(S)S-alliin,149340-22-7,OC1COC(O)(CNC(CS(=O)CC=C)C(O)=O)C(O)C1O,
N-Feruloylaspartic acid,135068-96-1,COC1=CC(\C=C\C(=O)NC(CC(O)=O)C(O)=O)=CC=C1O,
Rheinoside C,111545-29-0,OCC1OC(OC2=CC=CC3=C2C(=O)C2=C(C=C(C=C2O)C(O)=O)C3C2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,
5-Hydroxyaloin A,138373-23-6,OCC1OC(C(O)C(O)C1O)C1C2=C(C(O)=CC(CO)=C2)C(=O)C2=C(O)C=CC(O)=C12,
O-Ethylcubebin,146830-09-3,CCOC1OCC(CC2=CC3=C(OCO3)C=C2)C1CC1=CC2=C(OCO2)C=C1,
Cycloaltilisin,152130-62-6,COC1=C(O)C=C2C(OC(C=C(C)C)C3=C2OC2=C(CC=C(C)C)C(O)=CC(O)=C2C3=O)=C1,
Heteroflavanone B,151171-29-8,COC1=CC(OC)=C(C2CC(=O)C3=C(O2)C(CC=C(C)C)=C(OC)C=C3O)C(OC)=C1,
3-O-Methyluralenol,150853-98-8,COC1=C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC(O)=C(O)C(CC=C(C)C)=C1,Flavonoids
"3',6-Disinapoylsucrose",139891-98-8,COC1=CC(\C=C\C(=O)OCC2OC(OC3(CO)OC(CO)C(O)C3OC(=O)\C=C\C3=CC(OC)=C(O)C(OC)=C3)C(O)C(O)C2O)=CC(OC)=C1O,
Purpureacin 2,149990-60-3,CCCCCCCCCCC(O)C1CCC(O1)C1CCC(O1)C(O)CCC(O)CCCCCCCC(O)CC1=CC(C)OC1=O,
Annoreticuin-9-one,191936-12-6,CCCCCCCCCCCCC(O)C1CCC(O1)C(O)CCCCCC(=O)CCCCC(O)CC1=CC(C)OC1=O,
15-Oxo-21-hydroxymabiogenin 3-[rhamnosyl-(1->6)-glucoside],156980-29-9,[H][C@@]12C(=O)O[C@H](CC=C(C)C)[C@]1(CO)OC(=O)[C@]1(C)[C@]2([H])CCC2[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)C3CC[C@@]12C,
Jujuboside B1,55466-05-2,CC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CCC4C6C7(CC54CO7)OC(CC6(C)O)C=C(C)C)C3(C)C)OCC(O)C2OC2OC(CO)C(O)C(O)C2OC2OCC(O)C(O)C2O)C(O)C(O)C1O,
Quercetin 3-(2-caffeoylsophoroside) 7-glucoside,151649-67-1,OCC1OC(OC2=CC(O)=C3C(OC(C4=CC(O)=C(O)C=C4)=C(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4OC(=O)\C=C\C4=CC(O)=C(O)C=C4)C3=O)=C2)C(O)C(O)C1O,
Quercetin 3-(2-feruloylsophoroside) 7-glucoside,151649-66-0,COC1=C(O)C=CC(\C=C\C(=O)OC2C(OC3C(OC4=C(OC5=CC(OC6OC(CO)C(O)C(O)C6O)=CC(O)=C5C4=O)C4=CC(O)=C(O)C=C4)OC(CO)C(O)C3O)OC(CO)C(O)C2O)=C1,
(S)-Nerolidol 3-O-[a-L-rhamnopyranosyl-(1->2)-b-D-glucopyranoside],130466-30-7,CC1OC(OC2C(O)C(O)C(CO)OC2OC(C)(CC\C=C(/C)CCC=C(C)C)C=C)C(O)C(O)C1O,
(S)-Nerolidol 3-O-[a-L-rhamnopyranosyl-(1->4)-a-L-rhamnopyranosyl-(1->6)-b-D-glucopyranoside],130466-33-0,CC1OC(OC2C(C)OC(OCC3OC(OC(C)(CC\C=C(/C)CCC=C(C)C)C=C)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,
(S)-Nerolidol 3-O-[a-L-Rhamnopyranosyl-(1->4)-a-L-rhamnopyranosyl-(1->2)-[a-L-rhamnopyranosyl-(1->6)]-b-D-glucopyranoside],130466-32-9,CC1OC(OCC2OC(OC(C)(CC\C=C(/C)CCC=C(C)C)C=C)C(OC3OC(C)C(OC4OC(C)C(O)C(O)C4O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,
(S)-Nerolidol 3-O-[a-L-Rhamnopyranosyl-(1->4)-a-L-rhamnopyranosyl-(1->2)-[4-(4-hydroxy-3-methoxycinnamoyl)-(E)-a-L-rhamnopyranosyl-(1->6)]-b-D-glucopyranoside],143376-48-1,COC1=CC(\C=C\C(=O)OC2C(C)OC(OCC3OC(OC(C)(CC\C=C(/C)CCC=C(C)C)C=C)C(OC4OC(C)C(OC5OC(C)C(O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O)=CC=C1O,
Caraganoside A,144118-18-3,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,
Araloside G,144077-05-4,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(CO)C(OC7OC(CO)C(O)C(O)C7O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,
Oleanolic acid 3-glucuronide,26020-14-4,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(O)=O,
Elatoside E,156980-30-2,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(O)=O,
Tarasaponin VI,91204-06-7,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,
Stipuleanoside R2,96627-72-4,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(OC7OC(CO)C(O)C7O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,
Tarasaponin I,96627-79-1,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(OC7OCC(O)C(O)C7O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(O)=O,
Tarasaponin II,121521-92-4,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(O)=O,
28-Glucuronyloleanolic acid 3-[galactosyl-(1->3)-glucoside],617-45-8,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(CO)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(C(O)C(O)C1O)C(O)=O,
Elatoside D,156856-40-5,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,
Oleanolic acid 3-[rhamnosyl-(1->4)-glucosyl-(1->6)-glucoside],160845-07-8,CC1OC(OC2C(O)C(O)C(OCC3OC(OC4CCC5(C)C(CCC6(C)C5CC=C5C7CC(C)(C)CCC7(CCC65C)C(O)=O)C4(C)C)C(O)C(O)C3O)OC2CO)C(O)C(O)C1O,
Myricetin 3-robinobioside,145544-43-0,CC1OC(OCC2OC(OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C(O)=C3)C(O)C(O)C2O)C(O)C(O)C1O,
Piceatannol 4'-galloylglucoside,116107-19-8,OC1C(COC(=O)C2=CC(O)=C(O)C(O)=C2)OC(OC2=C(O)C=C(\C=C/C3=CC(O)=CC(O)=C3)C=C2)C(O)C1O,
Piceatannol 4'-glucoside,116181-54-5,OCC1OC(OC2=C(O)C=C(\C=C/C3=CC(O)=CC(O)=C3)C=C2)C(O)C(O)C1O,
O-Geranylvanillin,151455-08-2,COC1=C(OC\C=C(/C)CCC=C(C)C)C=CC(C=O)=C1,
Dihydroconiferyl alcohol,2305-13-7,COC1=C(O)C=CC(CCCO)=C1,
1-O-2'-Hydroxy-4'-methoxycinnamoyl-b-D-glucose,145227-80-1,COC1=CC(O)=C(\C=C\C(=O)OC2OC(CO)C(O)C(O)C2O)C=C1,
5-O-Methylembelin,56005-10-8,CCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O,Carbonyl compounds
2-O-Caffeoyltartronic acid,102606-75-7,OC(=O)C(OC(=O)\C=C\C1=CC(O)=C(O)C=C1)C(O)=O,
Corossoline,133352-34-8,CCCCCCCCCCCCC(O)C1CCC(O1)C(O)CCCCC(O)CCCCCCCC1=C(C)COC1=O,
Capsicoside D,160260-25-3,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(OC3OCC(O)C(O)C3O)C2OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,
Protodegalactotigonin,126643-25-2,CC(CCC1(O)OC2CC3C4CCC5CC(CCC5(C)C4CCC3(C)C2C1C)OC1OC(CO)C(OC2OC(CO)C(O)C(OC3OCC(O)C(O)C3O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C1O)COC1OC(CO)C(O)C(O)C1O,
Icariside D1,112267-85-3,OCC1(O)COC(OCC2OC(OCCC3=CC=CC=C3)C(O)C(O)C2O)C1O,
Dimethylstrobochrysin,109251-29-8,COC1=CC2=C(C(=O)C=C(O2)C2=CC=CC=C2)C(OC)=C1C,
Quinquenoside R1,85013-02-1,CC(C)=CCCC(C)(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C1CCC2(C)C1C(O)CC1C3(C)CCC(OC4OC(CO)C(O)C(O)C4OC4OC(COC(C)=O)C(O)C(O)C4O)C(C)(C)C3CCC21C,
Isoschaftoside 4'-glucoside,151922-19-9,OCC1OC(OC2=CC=C(C=C2)C2=CC(=O)C3=C(O)C(C4OCC(O)C(O)C4O)=C(O)C(C4OC(CO)C(O)C(O)C4O)=C3O2)C(O)C(O)C1O,
"3',4',7-Trimethylgossypetin",89971-05-1,COC1=C(O)C2=C(C(O)=C1)C(=O)C(O)=C(O2)C1=CC(OC)=C(OC)C=C1,
Schaftoside 4'-glucoside,151922-20-2,OCC1OC(OC2=CC=C(C=C2)C2=CC(=O)C3=C(O)C(C4OC(CO)C(O)C(O)C4O)=C(O)C(C4OCC(O)C(O)C4O)=C3O2)C(O)C(O)C1O,
Hypochoeroside A,123693-85-6,CC1C2C(OC1=O)\C=C(C)\C(O)C\C=C(C)\CC2OC1OC(CO)C(O)C(O)C1O,
Phytolaccoside D2,111199-24-7,COC(=O)C1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(CO)C5CCC34C)C2C1)C(O)=O,
Phytolaccoside F,65497-08-7,COC(=O)C1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(O)C6OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(C)(CO)C5CCC34C)C2C1)C(O)=O,
Glycyrrhetic acid,471-53-4,[H][C@@]12C[C@](C)(CC[C@]1(C)CC[C@]1(C)C2=CC(=O)[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,
Theasaponin B1,160539-68-4,CC(=O)OC1CC2(C)C(=CCC3C4(C)CCC(OC5OC(C(O)C(OC6OCC(O)C(O)C6OC6OCC(O)C(O)C6O)C5OC5OC(CO)C(O)C(O)C5O)C(O)=O)C(C)(C)C4CCC23C)C2CC(C)(C)C(OC(=O)\C=C\C3=CC=CC=C3)C(OC(C)=O)C12CO,
Deltoside,62751-68-2,CC1C2C(CC3C4CC=C5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2OC2OC(C)C(O)C(O)C2O)OC11CCC(COC2OC(CO)C(O)C(O)C2O)CO1,
Physalin Q,76045-35-7,CC12OC(=O)C3(O)CCC4C(CC(O)C56OOC(C=C5)C(=O)C46C)C45OC13C(C4=O)C1(C)CC2OC(=O)C1CO5,
Kamahine B,160709-07-9,CC1CC2(OC1O)OC1C(=O)C=C(C)C2(O)C1(C)C,
Kamahine A,144841-11-2,CC1CC2(OC1O)OC1C(=O)C=C(C)C2(O)C1(C)C,
(E)-10-Oxo-8-decenoic acid,69152-89-2,OC(=O)CCCCCC\C=C\C=O,
(-)-1-Cyclohexyl-4-tricosanol,151454-21-6,CCCCCCCCCCCCCCCCCCCC(O)CCCC1CCCCC1,
"10-Octacosene-1,12-diol",151454-17-0,CCCCCCCCCCCCCCCCC(O)\C=C\CCCCCCCCCO,Fatty Acyls
25-Methyl-10-triacontanone,151454-16-9,CCCCCCCCCC(=O)CCCCCCCCCCCCCCC(C)CCCCC,Carbonyl compounds
"20-Tetracosene-1,18-diol",151454-15-8,CCC\C=C\CC(O)CCCCCCCCCCCCCCCCCO,Fatty Acyls
"2,4-Heptadecanedione",64042-18-8,CCCCCCCCCCCCCC(=O)CC(C)=O,Carbonyl compounds
"(all-E)-1,7-bis(4-hydroxyphenyl)-1,4,6-heptatrien-3-one",149732-52-5,OC1=CC=C(\C=C\C=C\C(=O)\C=C/C2=CC=C(O)C=C2)C=C1,Diarylheptanoids
"3',4',5'-Trimethoxycinnamyl alcohol",30273-62-2,COC1=CC(\C=C/CO)=CC(OC)=C1OC,Cinnamyl alcohols
"3',4',5'-Trimethoxycinnamyl alcohol acetate",87200-84-8,COC1=CC(\C=C/COC(C)=O)=CC(OC)=C1OC,Benzene and substituted derivatives
"3-(3-Methoxy-4,5-methylenedioxyphenyl)-2-propen-1-ol",69618-94-6,COC1=C2OCOC2=CC(\C=C/CO)=C1,Cinnamyl alcohols
"(E,E)-1,7-Diphenyl-4,6-heptadien-3-ol",152323-34-7,OC(CCC1=CC=CC=C1)\C=C\C=C/C1=CC=CC=C1,Diarylheptanoids
Ampelopsin D,149418-37-1,OC1=CC=C(\C=C2\C(C(C3=C2C=C(O)C=C3O)C2=CC(O)=CC(O)=C2)C2=CC=C(O)C=C2)C=C1,Stilbenes
"Methyl (R)-9-hydroxy-10-undecene-5,7-diynoate glucoside",152141-44-1,COC(=O)CCCC#CC#CC(OC1OC(CO)C(O)C(O)C1O)C=C,Fatty Acyls
"Methyl (3x,10R)-dihydroxy-11-dodecene-6,8-diynoate 10-glucoside",152141-43-0,COC(=O)CC(O)CCC#CC#CC(OC1OC(CO)C(O)C(O)C1O)C=C,Fatty Acyls
"Methyl (3x,4E,10R)-3,10-dihydroxy-4,11-dodecadiene-6,8-diynoate 10-glucoside",142449-85-2,COC(=O)CC(O)\C=C\C#CC#CC(OC1OC(CO)C(O)C(O)C1O)C=C,Fatty Acyls
"Methyl (R)-8-Hydroxy-9-decene-4,6-diynoate glucoside",142449-83-0,COC(=O)CCC#CC#CC(OC1OC(CO)C(O)C(O)C1O)C=C,Fatty Acyls
Methyl helianthenoate A glucoside,152230-54-1,COC(=O)C\C=C/CC#CC#CC(OC1OC(CO)C(O)C(O)C1O)C=C,Fatty Acyls
(±)-(E)-13-Hydroxy-10-oxo-11-octadecenoic acid,28979-44-4,CCCCCC(O)\C=C\C(=O)CCCCCCCCC(O)=O,Lineolic acids and derivatives
13-Hydroxy-9-methoxy-10-oxo-11-octadecenoic acid,150147-08-3,CCCCCC(O)\C=C\C(=O)C(CCCCCCCC(O)=O)OC,Lineolic acids and derivatives
"(E)-9-(3-Furanyl)-2,6-dimethyl-2,6-nonadien-4-one",53098-76-3,CC(C)=CC(=O)C\C(C)=C\CCC1=COC=C1,Prenol lipids
Ipomeabisfuran,92541-62-3,CC1=COC(CC2(C)CCC(O2)C2=COC=C2)=C1,Heteroaromatic compounds
Ipomeatetrahydrofuran,92448-62-9,CC(C)CC(=O)CC1(C)CCC(O1)C(C)CCO,Prenol lipids
Ipomeamaronolide,92448-61-8,CC(C)CC(=O)CC1(C)CCC(O1)C1=CCOC1=O,Dihydrofurans
Coixinden B,151466-74-9,COC1=CC(O)(C(C)=O)C2=C1C=C(OC)C=C2,Indenes and isoindenes
7-Pentacosanone,31469-35-9,CCCCCCCCCCCCCCCCCCC(=O)CCCCCC,Carbonyl compounds
4-Methylnonacosane,125208-64-2,CCCCCCCCCCCCCCCCCCCCCCCCCC(C)CCC,Alkanes
2-Hydroxy-22-methyltetracosanoic acid,52900-16-0,CCC(C)CCCCCCCCCCCCCCCCCCCC(O)C(O)=O,Fatty Acyls
Polacrilin,54182-62-6,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,
Heteroflavanone A,151171-28-7,COC1=CC(O)=C2C(=O)CC(OC2=C1)C1=C(OC)C=C(OC)C=C1OC,Flavonoids
"2-Methoxy-3,5-dimethylpyrimidine",92508-08-2,COC1=C(C)N=C(C)C=N1,Diazines
N-[(5-Hydroxy-2-pyridinyl)methyl]adenosine,123369-41-5,OCC1OC(C(O)C1O)N1C=NC2=C(NCC3=NC=C(O)C=C3)N=CN=C12,Purine nucleosides
Gossypurpurin,21891-57-6,CC(C)C1=C(O)C(=O)C2=C3NC(OC4=C2C1=CC(C)=C4C1=C(O)C2=C(C=N)C(O)=C(O)C(C(C)C)=C2C=C1C)=C1C(=O)C(O)=C(C(C)C)C2=CC(C)=C(C(O3)=C12)C1=C(O)C2=C(C=O)C(O)=C(O)C(C(C)C)=C2C=C1C,Prenol lipids
Mytilus Small cardioactive peptide,150213-97-1,CC(C)C[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)N)C(N)=O,Carboxylic acids and derivatives
"2-(4-Methyl-1,3-pentadienyl)anthraquinone",150900-95-1,CC(C)=C\C=C/C1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O,Anthracenes
