,cas_number,moldb_smiles,klass
Prenyl acetate,1191-16-8,CC(C)=CCOC(C)=O,Carboxylic acids and derivatives
Phytic acid,83-86-3,OP(O)(=O)O[C@H]1[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O,Alcohols and polyols
Asparagoside B,60237-69-6,CC(CCC1(O)OC2CC3C4CCC5CC(O)CCC5(C)C4CCC3(C)C2C1C)COC1OC(CO)C(O)C(O)C1O,Steroids and steroid derivatives
6-Hydroxykaempferol,4324-55-4,OC1=CC=C(C=C1)C1=C(O)C(=O)C2=C(O1)C=C(O)C(O)=C2O,
"(3beta,5alpha)-Ergosta-7,23-dien-3-ol",72982-05-9,CC(C)C(\C)=C\CC(C)C1CCC2C3=CCC4CC(O)CCC4(C)C3CCC12C,Steroids and steroid derivatives
L-Malic acid caffeate,53755-04-7,OC(=O)CC(OC(=O)\C=C\C1=CC=C(O)C(O)=C1)C(O)=O,Cinnamic acids and derivatives
1-Methoxyphaseollidin,65428-13-9,COC1=C2C3OC4=C(C=CC(O)=C4CC=C(C)C)C3COC2=CC(O)=C1,Isoflavonoids
"(3beta,5alpha,6alpha)-Cholest-8-ene-3,6-diol",570-92-3,CC(C)CCCC(C)C1CCC2C3=C(CCC12C)C1(C)CCC(O)CC1C(O)C3,Steroids and steroid derivatives
Mucronine D,38496-00-3,CCC(C)C1NC(=O)C2C(CCN2C(=O)C(CC(C)C)NC(=O)C(CC2=CC=CC=C2)N(C)C)OC2=CC=C(OC)C(=C2)\C=C/NC1=O,Carboxylic acids and derivatives
Nummularine A,53947-95-8,CCC(C)C1NC(=O)C2C(CCN2C(=O)C(CC(C)C)NC(=O)C(CC2=CC=CC=C2)NC)OC2=CC=C(OC)C(=C2)\C=C/NC1=O,Carboxylic acids and derivatives
Oxoglaucine,5574-24-3,COC1=CC2=C(C=C1OC)C1=C(OC)C(OC)=CC3=C1C(=NC=C3)C2=O,Aporphines
beta1-Tomatidine,17406-46-1,CC1C2C(CC3C4CCC5CC(CCC5(C)C4CCC23C)OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)C(O)C2O)OC11CCC(C)CN1,Steroids and steroid derivatives
Blepharin,27625-86-1,OCC1OC(OC2OC3=CC=CC=C3NC2=O)C(O)C(O)C1O,Carbohydrates and carbohydrate conjugates
Geranyl apiosyl-glucoside,120163-17-9,CC(C)=CCC\C(C)=C/COC1OC(COC2OCC(O)(CO)C2O)C(O)C(O)C1O,Prenol lipids
Geranyl rhamnosyl-glucoside,84534-31-6,CC1OC(OCC2OC(OC\C=C(\C)CCC=C(C)C)C(O)C(O)C2O)C(O)C(O)C1O,
Geranyl 3-methylbutanoate,109-20-6,CC(C)CC(=O)OC\C=C(\C)CCC=C(C)C,
